tanggal,harga-imputed
2016-07-25,14900.0
2016-07-26,14900.0
2016-07-27,14900.0
2016-07-28,15650.0
2016-07-29,15900.0
2016-07-30,15900.0
2016-07-31,15900.0
2016-08-01,15900.0
2016-08-02,15900.0
2016-08-03,16150.0
2016-08-04,16150.0
2016-08-05,16150.0
2016-08-06,16150.0
2016-08-07,16150.0
2016-08-08,16150.0
2016-08-09,15650.0
2016-08-10,15650.0
2016-08-11,15650.0
2016-08-12,15650.0
2016-08-13,15650.0
2016-08-14,15650.0
2016-08-15,15150.0
2016-08-16,15150.0
2016-08-17,15150.0
2016-08-18,14900.0
2016-08-19,14900.0
2016-08-20,14900.0
2016-08-21,14900.0
2016-08-22,15000.0
2016-08-23,15000.0
2016-08-24,15500.0
2016-08-25,15400.0
2016-08-26,15400.0
2016-08-27,15400.0
2016-08-28,15400.0
2016-08-29,14900.0
2016-08-30,14900.0
2016-08-31,14900.0
2016-09-01,14900.0
2016-09-02,14900.0
2016-09-03,14900.0
2016-09-04,14900.0
2016-09-05,14900.0
2016-09-06,14900.0
2016-09-07,14900.0
2016-09-08,14900.0
2016-09-09,14900.0
2016-09-10,14900.0
2016-09-11,14900.0
2016-09-12,14900.0
2016-09-13,14900.0
2016-09-14,14900.0
2016-09-15,14900.0
2016-09-16,14900.0
2016-09-17,14900.0
2016-09-18,14900.0
2016-09-19,14500.0
2016-09-20,14250.0
2016-09-21,14250.0
2016-09-22,14250.0
2016-09-23,14250.0
2016-09-24,14250.0
2016-09-25,14250.0
2016-09-26,14500.0
2016-09-27,14500.0
2016-09-28,14500.0
2016-09-29,14500.0
2016-09-30,14500.0
2016-10-01,14500.0
2016-10-02,14500.0
2016-10-03,14250.0
2016-10-04,14250.0
2016-10-05,13500.0
2016-10-06,13500.0
2016-10-07,13500.0
2016-10-08,13500.0
2016-10-09,13500.0
2016-10-10,13500.0
2016-10-11,13500.0
2016-10-12,13500.0
2016-10-13,14400.0
2016-10-14,14400.0
2016-10-15,14400.0
2016-10-16,14400.0
2016-10-17,14750.0
2016-10-18,14750.0
2016-10-19,14750.0
2016-10-20,14750.0
2016-10-21,14750.0
2016-10-22,14750.0
2016-10-23,14750.0
2016-10-24,14250.0
2016-10-25,14250.0
2016-10-26,14250.0
2016-10-27,14250.0
2016-10-28,14250.0
2016-10-29,14250.0
2016-10-30,14250.0
2016-10-31,13900.0
2016-11-01,13900.0
2016-11-02,13900.0
2016-11-03,13900.0
2016-11-04,13900.0
2016-11-05,13900.0
2016-11-06,13900.0
2016-11-07,13150.0
2016-11-08,13150.0
2016-11-09,13150.0
2016-11-10,13500.0
2016-11-11,13500.0
2016-11-12,13500.0
2016-11-13,13500.0
2016-11-14,13650.0
2016-11-15,13650.0
2016-11-16,13650.0
2016-11-17,13650.0
2016-11-18,13650.0
2016-11-19,13650.0
2016-11-20,13650.0
2016-11-21,12900.0
2016-11-22,12900.0
2016-11-23,12900.0
2016-11-24,12900.0
2016-11-25,12900.0
2016-11-26,12900.0
2016-11-27,12900.0
2016-11-28,12900.0
2016-11-29,13250.0
2016-11-30,13650.0
2016-12-01,13650.0
2016-12-02,13650.0
2016-12-03,13650.0
2016-12-04,13650.0
2016-12-05,13900.0
2016-12-06,13900.0
2016-12-07,14150.0
2016-12-08,14150.0
2016-12-09,14150.0
2016-12-10,14150.0
2016-12-11,14150.0
2016-12-12,14150.0
2016-12-13,14250.0
2016-12-14,14250.0
2016-12-15,14250.0
2016-12-16,14250.0
2016-12-17,14250.0
2016-12-18,14250.0
2016-12-19,14500.0
2016-12-20,14500.0
2016-12-21,14500.0
2016-12-22,14500.0
2016-12-23,14500.0
2016-12-24,14500.0
2016-12-25,14500.0
2016-12-26,14500.0
2016-12-27,14500.0
2016-12-28,14500.0
2016-12-29,14500.0
2016-12-30,14500.0
2016-12-31,14500.0
2017-01-01,14500.0
2017-01-02,14500.0
2017-01-03,14500.0
2017-01-04,14500.0
2017-01-05,14500.0
2017-01-06,14150.0
2017-01-07,14150.0
2017-01-08,14150.0
2017-01-09,13400.0
2017-01-10,13400.0
2017-01-11,13750.0
2017-01-12,13750.0
2017-01-13,13750.0
2017-01-14,13750.0
2017-01-15,13750.0
2017-01-16,13900.0
2017-01-17,13900.0
2017-01-18,13900.0
2017-01-19,13900.0
2017-01-20,13900.0
2017-01-21,13900.0
2017-01-22,13900.0
2017-01-23,13650.0
2017-01-24,13650.0
2017-01-25,13650.0
2017-01-26,13650.0
2017-01-27,13650.0
2017-01-28,13650.0
2017-01-29,13650.0
2017-01-30,13250.0
2017-01-31,13250.0
2017-02-01,13250.0
2017-02-02,13400.0
2017-02-03,13400.0
2017-02-04,13400.0
2017-02-05,13400.0
2017-02-06,13150.0
2017-02-07,13150.0
2017-02-08,13150.0
2017-02-09,13150.0
2017-02-10,13150.0
2017-02-11,13150.0
2017-02-12,13150.0
2017-02-13,13150.0
2017-02-14,13150.0
2017-02-15,13150.0
2017-02-16,13150.0
2017-02-17,13250.0
2017-02-18,13250.0
2017-02-19,13250.0
2017-02-20,13250.0
2017-02-21,13250.0
2017-02-22,13250.0
2017-02-23,13250.0
2017-02-24,13250.0
2017-02-25,13250.0
2017-02-26,13250.0
2017-02-27,13250.0
2017-02-28,13250.0
2017-03-01,13250.0
2017-03-02,13250.0
2017-03-03,13250.0
2017-03-04,13250.0
2017-03-05,13250.0
2017-03-06,13250.0
2017-03-07,13250.0
2017-03-08,13250.0
2017-03-09,13250.0
2017-03-10,13250.0
2017-03-11,13250.0
2017-03-12,13250.0
2017-03-13,13400.0
2017-03-14,13400.0
2017-03-15,13400.0
2017-03-16,13400.0
2017-03-17,13400.0
2017-03-18,13400.0
2017-03-19,13400.0
2017-03-20,13400.0
2017-03-21,13400.0
2017-03-22,13400.0
2017-03-23,13400.0
2017-03-24,13400.0
2017-03-25,13400.0
2017-03-26,13400.0
2017-03-27,13400.0
2017-03-28,13400.0
2017-03-29,13400.0
2017-03-30,13400.0
2017-03-31,13400.0
